number,company,symbol,ytd_return
170,PulteGroup,PHM,   14.33
171,AES Corporation,AES,   14.14
172,Genuine Parts Company,GPC,   13.99
173,Hartford (The),HIG,   13.89
174,Analog Devices,ADI,   13.82
175,Carnival,CCL,   13.74
176,Nucor,NUE,   13.74
177,Consolidated Edison,ED,   13.67
178,Abbott Laboratories,ABT,   13.63
179,State Street Corporation,STT,   13.55
180,Microchip Technology,MCHP,   13.52
181,BlackRock,BLK,   13.50
182,Fox Corporation (Class B),FOX,   13.42
183,Phillips 66,PSX,   12.99
184,Kroger,KR,   12.99
185,Eaton Corporation,ETN,   12.67
186,Trane Technologies,TT,   12.60
187,Citizens Financial Group,CFG,   12.43
188,Dominion Energy,D,   12.35
189,Axon Enterprise,AXON,   12.27
190,CMS Energy,CMS,   12.19
191,Realty Income,O,   11.93
192,Universal Health Services,UHS,   11.89
193,Nordson Corporation,NDSN,   11.49
194,Boston Scientific,BSX,   11.18
195,PTC Inc.,PTC,   10.34
196,Mettler Toledo,MTD,   10.32
197,Republic Services,RSG,   10.32
198,Franklin Resources,BEN,   10.13
199,Hershey Company (The),HSY,   10.07
200,Synchrony Financial,SYF,   10.00
201,Pinnacle West,PNW,   9.90
202,Coca-Cola Company (The),KO,   9.89
203,Baker Hughes,BKR,   9.82
204,Linde plc,LIN,   9.82
205,D. R. Horton,DHI,   9.69
206,General Motors,GM,   9.68
207,Trimble Inc.,TRMB,   9.63
208,Teradyne,TER,   9.62
209,Solventum,SOLV,   9.31
210,Travelers Companies (The),TRV,   9.19
211,Cadence Design Systems,CDNS,   8.80
212,"Tesla, Inc.",TSLA,   8.74
213,Berkshire Hathaway,BRK.B,   8.60
214,Humana,HUM,   8.39
215,Deere & Company,DE,   8.33
216,Cigna,CI,   8.28
217,Expeditors International,EXPD,   8.26
218,Freeport-McMoRan,FCX,   8.25
219,Yum! Brands,YUM,   8.13
220,Visa Inc.,V,   7.98
221,Pentair,PNR,   7.92
222,Albemarle Corporation,ALB,   7.85
223,Corteva,CTVA,   7.82
224,Hewlett Packard Enterprise,HPE,   7.68
225,Crown Castle,CCI,   7.40
226,Datadog,DDOG,   7.20
227,Waste Management,WM,   6.85
228,Mohawk Industries,MHK,   6.65
229,Mastercard,MA,   6.64
230,Textron,TXT,   6.58
231,Qualcomm,QCOM,   6.44
232,American International Group,AIG,   6.35
233,Vici Properties,VICI,   6.30
234,McDonald's,MCD,   6.25
235,Cincinnati Financial,CINF,   6.18
236,Chevron Corporation,CVX,   5.75
237,Agilent Technologies,A,   5.62
238,Intuit,INTU,   5.55
239,Willis Towers Watson,WTW,   5.42
240,Hilton Worldwide,HLT,   5.31
241,Mondelez International,MDLZ,   5.14
242,DuPont,DD,   4.52
243,ExxonMobil,XOM,   4.43
244,Sempra,SRE,   4.35
245,Raymond James Financial,RJF,   4.20
246,Aflac,AFL,   4.14
247,IQVIA,IQV,   4.08
248,Tractor Supply,TSCO,   4.03
249,T-Mobile US,TMUS,   3.98
250,Lilly (Eli),LLY,   3.89
251,CoStar Group,CSGP,   3.87
252,Sysco,SYY,   3.75
253,Simon Property Group,SPG,   3.70
254,Thermo Fisher Scientific,TMO,   3.68
255,American Tower,AMT,   3.54
256,Ross Stores,ROST,   3.40
257,Intercontinental Exchange,ICE,   3.38
258,NetApp,NTAP,   3.37
259,NXP Semiconductors,NXPI,   3.28
260,Cintas,CTAS,   3.25
261,Stryker Corporation,SYK,   3.03
262,Ametek,AME,   2.98
263,Public Storage,PSA,   2.79
264,Autodesk,ADSK,   2.67
265,Emerson Electric,EMR,   2.56
266,Vertex Pharmaceuticals,VRTX,   2.54
267,Wabtec,WAB,   2.37
268,United Airlines Holdings,UAL,   2.28
269,A. O. Smith,AOS,   2.23
270,Costco,COST,   2.12
271,Hologic,HOLX,   2.03
272,Booking Holdings,BKNG,   1.87
273,Kellanova,K,   1.67
274,Verizon,VZ,   1.66
275,Hubbell Incorporated,HUBB,   1.59
276,Principal Financial Group,PFG,   1.59
277,Lockheed Martin,LMT,   1.51
278,Expand Energy,EXE,   1.47
279,Allstate,ALL,   1.47
280,Extra Space Storage,EXR,   1.32
281,PepsiCo,PEP,   1.28
282,Broadridge Financial Solutions,BR,   1.27
283,Keysight Technologies,KEYS,   1.01
284,Home Depot (The),HD,   0.80
285,Darden Restaurants,DRI,   0.79
286,Apple Inc.,AAPL,   0.71
287,Veralto,VLTO,   0.58
288,Williams-Sonoma,WSM,   0.38
289,Kinder Morgan,KMI,   0.15
290,Public Service Enterprise Group,PEG,   0.13
291,Edwards Lifesciences,EW,   0.09
292,Regions Financial Corporation,RF,   0.06
293,Snap-on,SNA,   0.06
294,Southwest Airlines,LUV,   -0.12
295,Moody's Corporation,MCO,   -0.18
296,Iron Mountain,IRM,   -0.44
297,TransDigm Group,TDG,   -0.57
298,Walt Disney Company (The),DIS,   -0.63
299,Union Pacific Corporation,UNP,   -0.69
300,Lowe's,LOW,   -0.79
301,Domino's,DPZ,   -0.83
302,Match Group,MTCH,   -0.84
303,KeyCorp,KEY,   -1.02
304,Delta Air Lines,DAL,   -1.02
305,Otis Worldwide,OTIS,   -1.43
306,Arthur J. Gallagher & Co.,AJG,   -1.48
307,Illinois Tool Works,ITW,   -1.68
308,Truist Financial,TFC,   -1.88
309,Assurant,AIZ,   -1.93
310,Paycom,PAYC,   -2.11
311,APA Corporation,APA,   -2.17
312,Regency Centers,REG,   -2.29
